Description,Category
ZOMATO ORDER,Food
SWIGGY ORDER,Food
DOMINO'S PIZZA,Food
KFC ONLINE ORDER,Food
TINA KITCHEN,Food
CHANDRU TEA SHOP,Food
RAFI JUICE,Food
AYAKADAI,Food
MANI BIRIYANI,Food
BABA SALON,Personal
XYZ PRINTING,Services
BALAJI SAREES,Shopping
RAJU MEDICAL,Medical
RENT TO OWNER,Rent
ROOM RENT PG,Rent
PG FEES,Rent
IRCTC TICKET BOOKING,Travel
UBER TRIP FARE,Travel
OLA CABS RIDE,Travel
FLIPKART SHOPPING,Shopping
MYNTRA ORDER,Shopping
AMAZON PAYMENT,Shopping
SPENCERS HYPERMARKET,Grocery
MORE RETAIL LTD,Grocery
HDFC CC PAYMENT,Card Bill
SALARY FROM XYZ LTD,Income
LIC PREMIUM PAYMENT,Insurance
NETFLIX MONTHLY,Subscription
ELECTRICITY BILL,Utilities
AIRTEL POSTPAID,Utilities
INCOME TAX DEDUCTED,Taxes
ATM CASH WITHDRAWAL,Cash Withdrawal
DONATION TO NGO,Charity
BOOKMYSHOW PAYMENT,Entertainment
BYJU'S SUBSCRIPTION,Education
UPWORK PAYMENT,Income
GOOGLE PAY CREDITED,Digital Transfer
